id,item_group_id,title,description,link,image_link,image_link 2,image_link 3,image_link 4,image_link 5,image_link 6,image_link 7,image_link 8,image_link 9,image_link 10,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect,variant_names,variant_values
product_37671bf6-0697-1d2f-5682-a71f5319d3bb,product_37671bf6-0697-1d2f-5682-a71f5319d3bb,Gara Bags | Duo Set,"Toiletry Bag Duo sets 

Introducing our toilet bag duo set - the perfect accessory for all your travel needs. Handmade in Freetown, Sierra Leone, each set includes two matching bags: one medium and one large. The bags are crafted using beautiful hand-dyed gara fabric, making them truly unique and one-of-a-kind.
The medium bag is perfect for your everyday toiletries, while the spacious large bag allows you to pack all your essentials for longer trips. Both bags are designed with practical features for travel, including a waterproof internal lining that keeps your toiletries dry and a PVC exterior coating that makes them easy to clean and resistant to wear and tear.
Our artisans in Freetown take great pride in their work and create each bag with meticulous attention to detail. By purchasing this duo set, you are not only investing in a high-quality product, but also supporting sustainable and fair-trade practices.

Travel in style and keep your toiletries organized with our toilet bag duo set. The hand-dyed gara fabric adds a touch of elegance and sophistication, making this set a must-have for any traveller


Dimensions: 
Medium Bag: 215mm (W) x 180mm (H) x 70m (D)
Large Bag: 215mm (W) x 220mm (H) X 120mm (D)",https://www.bijoucreates.co.uk/product-page/gara-bags-duo-set,https://www.bijoucreates.co.uk/product-page/gara-bags-duo-set,,,,,,,,,,30,In Stock,New,,,,,BijouCREATES,,,,,,,,Print Option ,Goodmorning;Tropical tiger;Midnight Blue;Pink Cloud
product_85226a9d-8402-af46-e5b2-ccdfb7ad8485,product_85226a9d-8402-af46-e5b2-ccdfb7ad8485,Tropical Tiger - Toiletry,"Introducing our medium toiletry bag by BijouCREATES, a stylish and practical accessory for your travels. Handmade with care in Freetown, Sierra Leone, this bag features a beautiful hand-dyed gold and green fabric with a striped print, making it a unique and eye-catching piece.

Not only is this toiletry bag aesthetically pleasing, but it is also designed with practical features for travel. It has a waterproof internal lining that keeps your toiletries dry, while the PVC exterior coating makes it easy to clean and resistant to wear and tear. The medium size allows you to easily fit all your travel essentials, from your toothbrush and toothpaste to your favourite skincare products and more.
Our artisans in Freetown are skilled in their craft and create each bag with precision and care. 

By purchasing this bag, you are not only investing in a high-quality product, but also supporting sustainable and fair trade practices. All our toiletries in the Gara Collection use hand-dyed fabric made by local artisans and women with disability 
Travel in style with our BijouCREATES medium toiletry bag, a unique and practical accessory that you will love.

Dimensions: 215mm (W) x 180mm (H) x 70m (D)",https://www.bijoucreates.co.uk/product-page/tropical-tiger-toiletry,https://i.etsystatic.com/22032131/r/il/5ca8cd/4837268007/il_fullxfull.4837268007_k7jl.jpg,https://i.etsystatic.com/22032131/r/il/11e7a7/4837266889/il_fullxfull.4837266889_le8a.jpg,https://i.etsystatic.com/22032131/r/il/1502a8/4837268049/il_fullxfull.4837268049_bwll.jpg,https://i.etsystatic.com/22032131/r/il/5f0edb/4789005326/il_fullxfull.4789005326_5dbc.jpg,https://i.etsystatic.com/22032131/r/il/afb65a/4837267137/il_fullxfull.4837267137_m19l.jpg,https://i.etsystatic.com/22032131/r/il/6720c9/4789005370/il_fullxfull.4789005370_nxp5.jpg,https://i.etsystatic.com/22032131/r/il/b840a2/4837268433/il_fullxfull.4837268433_fct3.jpg,https://i.etsystatic.com/22032131/r/il/b676d8/4837268441/il_fullxfull.4837268441_gkzm.jpg,,,16.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_6f2d952e-1751-66cf-c3d8-cc4d96df8b48,product_6f2d952e-1751-66cf-c3d8-cc4d96df8b48,Tropical Tiger - Toiletry Bag / Travel Bag - Large,"Introducing our large toiletry bag by BijouCREATES, a statement piece that is both stylish and practical. Handmade in Freetown, Sierra Leone, by our team of skilled artisans, including disabled artisans, this bag features a stunning hand-dyed gold and green fabric with a striped print that is sure to turn heads.

Not only is this toiletry bag unique, but it also features practical design elements. It has a waterproof internal lining that keeps your toiletries dry, while the PVC exterior coating makes it easy to clean and resistant to wear and tear. The spacious size allows you to fit all your travel essentials, from your shampoo and conditioner to your skincare products and more.
By purchasing this bag, you are not only investing in a high-quality product, but also supporting sustainable and ethical practices. Our team of artisans with disabilities in Freetown take great pride in their work and create each bag with meticulous attention to detail.

Travel in style and make a positive impact with our BijouCREATES large toiletry bag. It's a statement piece that is both practical and ethical, and you'll love using it on all your travels.

Dimensions: 
215mm (W) x 220mm (H) X 120mm (D)",https://www.bijoucreates.co.uk/product-page/tropical-tiger-toiletry-bag-travel-bag-large,https://i.etsystatic.com/22032131/r/il/3b3f44/4788917314/il_fullxfull.4788917314_djrl.jpg,https://i.etsystatic.com/22032131/r/il/66300d/4837179497/il_fullxfull.4837179497_83in.jpg,https://i.etsystatic.com/22032131/r/il/c64ebd/4837179261/il_fullxfull.4837179261_q1yb.jpg,https://i.etsystatic.com/22032131/r/il/2a45d0/4788915660/il_fullxfull.4788915660_rw8s.jpg,https://i.etsystatic.com/22032131/r/il/155048/4788917448/il_fullxfull.4788917448_rc94.jpg,https://i.etsystatic.com/22032131/r/il/b44884/4837183575/il_fullxfull.4837183575_2fuw.jpg,https://i.etsystatic.com/22032131/r/il/fc6b52/4837183569/il_fullxfull.4837183569_feka.jpg,,,,19.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_229e1ba5-17fb-ac8e-0dba-53a7a09e021b,product_229e1ba5-17fb-ac8e-0dba-53a7a09e021b,Goodmorning- Toiletry /Travel Bag (LARGE),"Introducing our BijouCREATES large toiletry bag - the perfect accessory for products and more.
Our artisans in Freetown take great pride in their work and create each bag your travels. Handmade with care in Freetown, Sierra Leone, this bag features a stunning hand-dyed gold and blue fabric with a cross print, making it a one-of-a-kind piece that you won't find anywhere else, and a great unique gifting idea.

This large toiletry bag is not only stylish, but also practical. It is equipped with a waterproof internal lining that ensures your toiletries stay dry, while the PVC exterior coating makes it easy to clean and resistant to wear and tear. The spacious size allows you to fit all your travel essentials - from your shampoo and conditioner to your skincare 
with meticulous attention to detail. By purchasing this bag, you are not only investing in a high-quality product, but also supporting sustainable and fair trade practices .Travel in style and make a statement with our BijouCREATES large toiletry bag.



Dimensions: 
215mm (W) x 220mm (H) X 120mm (D)",https://www.bijoucreates.co.uk/product-page/goodmorning-toiletry-travel-bag-large,https://www.bijoucreates.co.uk/product-page/goodmorning,,,,,,,,,,19.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_27e2c0e6-067a-b0be-9b41-622e4ad3c967,product_27e2c0e6-067a-b0be-9b41-622e4ad3c967,Goodmorning - Toiletry /Travel Bag (MEDIUM),"""Introducing our stylish and practical medium toiletry bag - the perfect travel companion for all your essentials. Handcrafted with care, the exterior of this bag features a stunning hand-dyed gold and blue fabric with a cross print that is, using hand-dyed gara tie-dye fabric. Sourced from Sierra Leone, we're supporting the livelihoods of local artisans and preserving traditional textile techniques.

The unique tie-dye pattern ensures that no two bags are exactly alike, making this an exclusive piece that you won't find anywhere else or an excellent and unique gift giving idea.
This toiletry bag is not just a pretty face, it also boasts practical features that make it perfect for travel. The waterproof internal lining ensures that your toiletries stay dry, while the PVC exterior coating makes it easy to clean and resistant to wear and tear. With a medium size, this bag is perfect for fitting all your essentials - from your toothbrush and toothpaste to your favourite skincare products and more.
Whether you're going on a weekend getaway or a long trip abroad, our medium toiletry bag is the perfect companion to keep your essentials organized and easily accessible. Get ready to travel in style with this stunning gold and blue tie-dye toiletry bag!

Dimensions: 215mm (W) x 180mm (H) x 70m (D)""",https://www.bijoucreates.co.uk/product-page/goodmorning,https://i.etsystatic.com/22032131/r/il/17c590/4837149507/il_fullxfull.4837149507_hvk0.jpg,https://i.etsystatic.com/22032131/r/il/8c0271/4788887080/il_fullxfull.4788887080_gnw7.jpg,https://i.etsystatic.com/22032131/r/il/ea13b5/4837149511/il_fullxfull.4837149511_h190.jpg,https://i.etsystatic.com/22032131/r/il/55fc38/4837150647/il_fullxfull.4837150647_mcx4.jpg,https://i.etsystatic.com/22032131/r/il/0ab269/4788887090/il_fullxfull.4788887090_e3xl.jpg,https://i.etsystatic.com/22032131/r/il/8c5de2/4788887102/il_fullxfull.4788887102_kk0c.jpg,https://i.etsystatic.com/22032131/r/il/a44c9b/4788887086/il_fullxfull.4788887086_69pk.jpg,https://i.etsystatic.com/22032131/r/il/8e1dd4/4837149497/il_fullxfull.4837149497_jer8.jpg,https://i.etsystatic.com/22032131/r/il/8c7921/4837151125/il_fullxfull.4837151125_jg8z.jpg,,16.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_adb26d20-0c0e-2044-612a-d2cc58b184c5,product_adb26d20-0c0e-2044-612a-d2cc58b184c5,Pink Cloud - Toiletry /Travel Bag (LARGE),"Introducing our stunning large-sized vertical toiletry bag, crafted from beautiful hand-dyed gara tie-dye fabric sourced from Sierra Leone. The unique vertical design is not only stylish but also practical, making it easy to store and access all your toiletries.

The bag is designed to keep your essentials organized and protected, whether you're at home or on the go. The PVC coating provides extra durability and protection against spills, while the waterproof lining ensures that your items stay clean and dry.
The large size of the bag is perfect for those who need to pack a lot of essentials, such as bottles, tubes, and accessories. The bag features a spacious main compartment with ample room for all your toiletries, and it also includes multiple pockets and compartments, including a zippered front pocket and mesh pockets, making it easy to find and access your items quickly.

Our large-sized vertical toiletry bag is not only practical but also socially responsible. By using hand-dyed gara tie-dye fabric sourced from Sierra Leone, we're supporting the livelihoods of local artisans and preserving traditional textile techniques.

The durable construction ensures that it will last for years to come. This beautiful and functional toiletry bag is the perfect accessory for anyone who wants to stay organized and stylish on the go while also making a positive impact. Elevate your travel game with our stunning large-sized vertical toiletry bag today!

Dimensions: 
215mm (W) x 220mm (H) X 120mm (D)",https://www.bijoucreates.co.uk/product-page/pink-cloud-large,https://i.etsystatic.com/22032131/r/il/fc7a4c/4837197287/il_fullxfull.4837197287_eazs.jpg,https://i.etsystatic.com/22032131/r/il/d9b833/4788935080/il_fullxfull.4788935080_bo6v.jpg,https://i.etsystatic.com/22032131/r/il/cbd88b/4837197309/il_fullxfull.4837197309_mze2.jpg,https://i.etsystatic.com/22032131/r/il/53d1f5/4837197307/il_fullxfull.4837197307_9ksj.jpg,https://i.etsystatic.com/22032131/r/il/0cb2c1/4837197303/il_fullxfull.4837197303_5zhn.jpg,https://i.etsystatic.com/22032131/r/il/be3c01/4788937064/il_fullxfull.4788937064_p9qn.jpg,,,,,19.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_0766c664-4487-c7fd-16a1-29f7d82ed683,product_0766c664-4487-c7fd-16a1-29f7d82ed683,Pink Cloud - Toiletry /Travel Bag (MEDIUM),"Introducing our stunning medium-sized toiletry bag, crafted from beautiful hand-dyed gara fabric sourced from Sierra Leone. Each bag features intricate one of a kind pattern, making it a true work of art. 

The bag is designed to keep your toiletries organized and protected, whether you're at home or on the go. The PVC coating provides extra durability and protection against spills, while the waterproof lining ensures that your items stay clean and dry.

This toiletries bag medium size is perfect for travel or everyday use, fitting easily into your luggage or gym bag without taking up too much space. It features a spacious main compartment with plenty of room for all your essentials, including bottles, tubes, and accessories.
By using hand-dyed gara fabric sourced from Sierra Leone, we're supporting the livelihoods of local artisans and preserving traditional textile techniques. Working with small making communities and people with disabilities. This beautiful and functional toiletry bag is the perfect accessory for anyone who wants to stay organized and stylish on the go while also making a positive impact.

Dimensions: 215mm (W) x 180mm (H) x 70m (D)",https://www.bijoucreates.co.uk/product-page/pink-cloud,https://i.etsystatic.com/22032131/r/il/4ab53e/4837230775/il_fullxfull.4837230775_llev.jpg,https://i.etsystatic.com/22032131/r/il/ae610b/4788968264/il_fullxfull.4788968264_iro9.jpg,https://i.etsystatic.com/22032131/r/il/c71b06/4788968268/il_fullxfull.4788968268_aelk.jpg,https://i.etsystatic.com/22032131/r/il/b2c7fb/4788968272/il_fullxfull.4788968272_1opj.jpg,https://i.etsystatic.com/22032131/r/il/230315/4837230777/il_fullxfull.4837230777_4joj.jpg,https://i.etsystatic.com/22032131/r/il/702dc3/4837244003/il_fullxfull.4837244003_bk1j.jpg,https://i.etsystatic.com/22032131/r/il/1f01d3/4837244835/il_fullxfull.4837244835_ahbv.jpg,,,,16.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_be899c3d-cc41-dc14-35f0-12c6d02d0091,product_be899c3d-cc41-dc14-35f0-12c6d02d0091,Midnight Blue  - Toiletry /Travel Bag (MEDIUM),"Introducing our stunning Deep Blue Hand Dyed Gara Toiletry Bag for the Gara Collection by BijouCREATES!

A medium-sized bag that is perfect for your travel and daily needs. Made with high-quality brillion cotton fabric coated with clear PVC.

Each bag is hand-dyed with a beautiful deep blue Gara pattern, making it unique and one-of-a-kind. The intricate swirls and patterns on the fabric give it a bohemian and free-spirited vibe, making it a stylish accessory for any outfit.
The bag's medium size provides ample space to store all of your essential toiletries, makeup, and skincare products. The interior of the bag is lined with waterproof material, ensuring that your belongings stay clean and dry.

The bag is also equipped with a sturdy zipper that runs smoothly, making it easy to open and close. The compact size of the bag makes it easy to pack and carry, making it the perfect travel companion.

Dimensions: 215mm (W) x 180mm (H) x 70m (D)",https://www.bijoucreates.co.uk/product-page/midnight-blue-toiletry-travel-bag-medium,https://i.etsystatic.com/22032131/r/il/0686be/4788834466/il_fullxfull.4788834466_nsai.jpg,https://i.etsystatic.com/22032131/r/il/0efeea/4788834468/il_fullxfull.4788834468_k7rj.jpg,https://i.etsystatic.com/22032131/r/il/4d0187/4837096333/il_fullxfull.4837096333_ntbq.jpg,https://i.etsystatic.com/22032131/r/il/80604e/4837096335/il_fullxfull.4837096335_4p5z.jpg,https://i.etsystatic.com/22032131/r/il/901b72/4788834478/il_fullxfull.4788834478_ax3v.jpg,https://i.etsystatic.com/22032131/r/il/b111a8/4788834464/il_fullxfull.4788834464_94tc.jpg,https://i.etsystatic.com/22032131/r/il/b5e203/4837096325/il_fullxfull.4837096325_3hj3.jpg,https://i.etsystatic.com/22032131/r/il/b655ab/4788836600/il_fullxfull.4788836600_9lgr.jpg,,,16.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_f86263a8-67ce-a247-4666-97b304ab8e5f,product_f86263a8-67ce-a247-4666-97b304ab8e5f,Midnight Blue - Toiletry /Travel Bag (LARGE),"Introducing our beautiful Hand Dyed Print Toiletry Bag, for the New Gara Collection From BijouCREATES !

The perfect accessory for your travel and everyday needs. Crafted with care, this bag is made from high-quality brillion, cotton fabric that is soft, Clear PVC coating and black waterproof lining.  Durable, and long-lasting.

Each bag is carefully hand-dyed with vibrant, rich colours that make it unique and one-of-a-kind. The intricate patterns and designs on the fabric give it a bohemian and eclectic feel, making it a stylish addition to any outfit.
The spacious interior of the bag provides ample space to store all of your essential toiletries, makeup, and skincare products. The interior is lined with a waterproof material that protects your belongings from spills and leaks, ensuring that everything stays clean and dry.
The bag is also equipped with a sturdy zipper that runs smoothly, making it easy to open and close. The compact size of the bag makes it easy to pack and carry, making it the perfect travel companion.

Our Hand Dyed Print Toiletry Bag is not only practical but also makes for a thoughtful gift for your loved ones who love to travel or appreciate artisanal products. So, whether you're packing for a weekend getaway or just need a stylish way to organize your daily essentials, our Hand Dyed Print Toiletry Bag is the perfect solution.

Dimensions: 
215mm (W) x 220mm (H) X 120mm (D)",https://www.bijoucreates.co.uk/product-page/midnight-blue-toiletry-travel-bag-large,https://i.etsystatic.com/22032131/r/il/10fcfc/4834319957/il_fullxfull.4834319957_o9pp.jpg,https://i.etsystatic.com/22032131/r/il/74a2a4/4834319965/il_fullxfull.4834319965_qtkm.jpg,https://i.etsystatic.com/22032131/r/il/1068ee/4786054838/il_fullxfull.4786054838_5v7t.jpg,https://i.etsystatic.com/22032131/r/il/210dfa/4786053726/il_fullxfull.4786053726_6ghg.jpg,https://i.etsystatic.com/22032131/r/il/9a4701/4786053724/il_fullxfull.4786053724_ihwd.jpg,https://i.etsystatic.com/22032131/r/il/13d56e/4834321027/il_fullxfull.4834321027_jtld.jpg,https://i.etsystatic.com/22032131/r/il/b12e7a/4834322579/il_fullxfull.4834322579_nelz.jpg,,,,19.5,In Stock,New,,,,,BijouCREATES,,,,,,,,,
product_0bb933d2-e408-4dad-75f6-d9873fe4a03e,product_0bb933d2-e408-4dad-75f6-d9873fe4a03e,The New Classic - Beige & Deep Floral Print,"Introducing the BijouCREATES new Beige Square Bag in the Made in Freetown Collection | Series 2! This new 22” Autumn/ Winter extension to the Made in Freetown series, brings deeper and neutral toned prints & continues the designs from the original collection.
. This lighter cool toned design has plenty of room for everything you need. This beige vegan leather bag, contrasting to the more formal vibes of the heat series design, will go perfectly alongside any outfit. especially for a more daytime look. With its wooden handles, this chic bag looks effortlessly stylish, making it an ideal investment to your wardrobe.
Complete the look by pair this fan with one of our bags with a corresponding print for a final co-ord moment.

PRODUCT FEATURES:
•	*Crafted from Authentic African Ankara
•	High quality vegan leather.
•	Zipped closure
•	Removable shoulder strap included

MEASUREMENTS:
23cm (w) x 20cm (h) x 12cm (d)
Available in more colours with corresponding Hand-Fans

SHIPPING
Your item will be made and shipped within 1 week (excluding weekends and UK public holidays or unless otherwise stated through store notification). Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately: UK: 1-2 working days Europe: 3-8 working days USA: 5-10 working days Rest of this beautiful world: 5-12 working days Please note that these timings are Royal Mail estimates outside of peak seasons and may vary please see courier directly for updates or further information. (www.royalmail.co.uk)

SOCIALS
To see behind the scenes, keep up with the journey of the brand and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tik Tok and Facebook. I LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories! Please message me from any questions or enquires.",https://www.bijoucreates.co.uk/product-page/the-new-classic-beige-deep-floral-print,https://i.etsystatic.com/22032131/r/il/2884fb/4283287056/il_fullxfull.4283287056_76rd.jpg,https://i.etsystatic.com/22032131/r/il/b14873/4330680391/il_fullxfull.4330680391_hbmd.jpg,https://i.etsystatic.com/22032131/r/il/f03cb2/4330680089/il_fullxfull.4330680089_mcso.jpg,https://i.etsystatic.com/22032131/r/il/2e316d/4283286934/il_fullxfull.4283286934_q80l.jpg,https://i.etsystatic.com/22032131/r/il/acd379/4330680021/il_fullxfull.4330680021_o7gy.jpg,https://i.etsystatic.com/22032131/r/il/6a6c92/4330680197/il_fullxfull.4330680197_14au.jpg,https://i.etsystatic.com/22032131/r/il/471ddd/4283287266/il_fullxfull.4283287266_m4ty.jpg,https://i.etsystatic.com/22032131/r/il/0459e3/3905911526/il_fullxfull.3905911526_7es0.jpg,https://i.etsystatic.com/22032131/r/il/4ed1b4/4330680493/il_fullxfull.4330680493_5mob.jpg,https://i.etsystatic.com/22032131/r/il/524b15/3953409673/il_fullxfull.3953409673_p8re.jpg,38,Out of Stock0,New,,,,,BijouCREATES,,,,,,,,Design Option,Bag ONLY;Bag & Hand-Fan Set
